status,updated,from_status,reporter,when,days_in_from_status,who,to_status,assignee,key,description_length,summary_length,days_in_current_status,days_since_open,project,created,transition,resolutiondate,comment_count,priority,vote_count,issue_type,watch_count,resolution
Closed,2011-03-12T00:32:56.138+0000,Open,cutting,2010-11-04T17:36:09.024+0000,0.04099309,cutting,Patch Available,cutting,AVRO-689,85,41,2602.276718,0.04099309,AVRO,2010-11-04T16:37:07.221+0000,Open to Patch Available,2010-12-09T19:47:55.862+0000,5,Major,0,New Feature,0,Fixed
Closed,2011-03-12T00:32:56.138+0000,Patch Available,cutting,2010-12-09T19:47:55.862+0000,35.09151433,cutting,Resolved,cutting,AVRO-689,85,41,2602.276718,35.13250742,AVRO,2010-11-04T16:37:07.221+0000,Patch Available to Resolved,2010-12-09T19:47:55.862+0000,5,Major,0,New Feature,0,Fixed
Closed,2011-03-12T00:32:56.138+0000,Resolved,cutting,2011-03-12T00:32:56.139+0000,92.19791987,cutting,Closed,cutting,AVRO-689,85,41,2602.276718,127.3304273,AVRO,2010-11-04T16:37:07.221+0000,Resolved to Closed,2010-12-09T19:47:55.862+0000,5,Major,0,New Feature,0,Fixed
Closed,2011-03-12T00:32:56.292+0000,NA,cutting,2010-11-01T16:46:12.807+0000,NA,cutting,Open,cutting,AVRO-687,182,47,2602.276716,NA,AVRO,2010-11-01T16:46:12.807+0000,Non-existent to Open,2010-12-14T23:46:00.174+0000,4,Major,0,New Feature,0,Fixed
Closed,2011-03-12T00:32:56.292+0000,Open,cutting,2010-12-09T00:49:32.524+0000,37.33564487,cutting,Patch Available,cutting,AVRO-687,182,47,2602.276716,37.33564487,AVRO,2010-11-01T16:46:12.807+0000,Open to Patch Available,2010-12-14T23:46:00.174+0000,4,Major,0,New Feature,0,Fixed
Closed,2011-03-12T00:32:56.292+0000,Patch Available,cutting,2010-12-14T23:46:00.174+0000,5.955875579,cutting,Resolved,cutting,AVRO-687,182,47,2602.276716,43.29152045,AVRO,2010-11-01T16:46:12.807+0000,Patch Available to Resolved,2010-12-14T23:46:00.174+0000,4,Major,0,New Feature,0,Fixed
Closed,2011-03-12T00:32:56.292+0000,Resolved,cutting,2011-03-12T00:32:56.293+0000,87.03259397,cutting,Closed,cutting,AVRO-687,182,47,2602.276716,130.3241144,AVRO,2010-11-01T16:46:12.807+0000,Resolved to Closed,2010-12-14T23:46:00.174+0000,4,Major,0,New Feature,0,Fixed
Closed,2011-03-12T00:32:53.529+0000,NA,plinehan,2010-10-25T19:55:27.654+0000,NA,plinehan,Open,plinehan,AVRO-684,636,61,2602.276748,NA,AVRO,2010-10-25T19:55:27.654+0000,Non-existent to Open,2010-11-22T21:18:29.278+0000,6,Major,0,New Feature,0,Fixed
Closed,2011-03-12T00:32:53.529+0000,Open,plinehan,2010-11-22T19:49:31.753+0000,27.99588078,plinehan,Patch Available,plinehan,AVRO-684,636,61,2602.276748,27.99588078,AVRO,2010-10-25T19:55:27.654+0000,Open to Patch Available,2010-11-22T21:18:29.278+0000,6,Major,0,New Feature,0,Fixed
Closed,2011-03-12T00:32:53.529+0000,Patch Available,plinehan,2010-11-22T21:18:29.278+0000,0.06177691,cutting,Resolved,plinehan,AVRO-684,636,61,2602.276748,28.05765769,AVRO,2010-10-25T19:55:27.654+0000,Patch Available to Resolved,2010-11-22T21:18:29.278+0000,6,Major,0,New Feature,0,Fixed
Closed,2011-03-12T00:32:53.529+0000,Resolved,plinehan,2011-03-12T00:32:53.530+0000,109.1350029,cutting,Closed,plinehan,AVRO-684,636,61,2602.276748,137.1926606,AVRO,2010-10-25T19:55:27.654+0000,Resolved to Closed,2010-11-22T21:18:29.278+0000,6,Major,0,New Feature,0,Fixed
Closed,2011-05-06T19:18:37.564+0000,NA,stuhood,2010-10-10T20:48:51.211+0000,NA,stuhood,Open,NA,AVRO-679,509,29,2546.494988,NA,AVRO,2010-10-10T20:48:51.211+0000,Non-existent to Open,2011-04-22T18:20:54.070+0000,10,Minor,0,New Feature,2,Incomplete
Closed,2011-05-06T19:18:37.564+0000,Open,stuhood,2011-04-22T18:20:54.104+0000,193.8972557,stuhood,Resolved,NA,AVRO-679,509,29,2546.494988,193.8972557,AVRO,2010-10-10T20:48:51.211+0000,Open to Resolved,2011-04-22T18:20:54.070+0000,10,Minor,0,New Feature,2,Incomplete
Closed,2011-05-06T19:18:37.564+0000,Resolved,stuhood,2011-05-06T19:18:37.565+0000,14.04008635,cutting,Closed,NA,AVRO-679,509,29,2546.494988,207.9373421,AVRO,2010-10-10T20:48:51.211+0000,Resolved to Closed,2011-04-22T18:20:54.070+0000,10,Minor,0,New Feature,2,Incomplete
Closed,2011-12-13T19:08:35.118+0000,NA,dln,2010-09-25T12:29:29.092+0000,NA,dln,Open,dln,AVRO-674,160,32,2602.276829,NA,AVRO,2010-09-25T12:29:29.092+0000,Non-existent to Open,2010-09-30T17:45:17.116+0000,3,Trivial,1,New Feature,1,Fixed
Closed,2011-12-13T19:08:35.118+0000,Open,dln,2010-09-25T12:39:31.675+0000,0.00697434,dln,Patch Available,dln,AVRO-674,160,32,2602.276829,0.00697434,AVRO,2010-09-25T12:29:29.092+0000,Open to Patch Available,2010-09-30T17:45:17.116+0000,3,Trivial,1,New Feature,1,Fixed
Closed,2011-12-13T19:08:35.118+0000,Patch Available,dln,2010-09-30T17:45:17.116+0000,5.212331493,philip,Resolved,dln,AVRO-674,160,32,2602.276829,5.219305833,AVRO,2010-09-25T12:29:29.092+0000,Patch Available to Resolved,2010-09-30T17:45:17.116+0000,3,Trivial,1,New Feature,1,Fixed
Closed,2011-12-13T19:08:35.118+0000,Resolved,dln,2011-03-12T00:32:46.537+0000,162.2829794,cutting,Closed,dln,AVRO-674,160,32,2602.276829,167.5022852,AVRO,2010-09-25T12:29:29.092+0000,Resolved to Closed,2010-09-30T17:45:17.116+0000,3,Trivial,1,New Feature,1,Fixed
Patch Available,2015-06-24T10:41:44.325+0000,NA,rbodkin,2010-09-20T23:05:13.962+0000,NA,rbodkin,Open,NA,AVRO-672,857,36,2774.312102,NA,AVRO,2010-09-20T23:05:13.962+0000,Non-existent to Open,NA,9,Major,2,New Feature,4,NA
Patch Available,2015-06-24T10:41:44.325+0000,Open,rbodkin,2010-09-20T23:41:58.992+0000,0.025521181,rbodkin,Patch Available,NA,AVRO-672,857,36,2774.312102,0.025521181,AVRO,2010-09-20T23:05:13.962+0000,Open to Patch Available,NA,9,Major,2,New Feature,4,NA
Closed,2010-10-14T19:06:52.536+0000,NA,cutting,2010-09-08T17:52:50.386+0000,NA,cutting,Open,cutting,AVRO-662,357,57,2750.503148,NA,AVRO,2010-09-08T17:52:50.386+0000,Non-existent to Open,2010-09-17T22:25:54.937+0000,4,Major,0,New Feature,0,Fixed
Closed,2010-10-14T19:06:52.536+0000,Open,cutting,2010-09-13T18:41:56.783+0000,5.034101817,cutting,Patch Available,cutting,AVRO-662,357,57,2750.503148,5.034101817,AVRO,2010-09-08T17:52:50.386+0000,Open to Patch Available,2010-09-17T22:25:54.937+0000,4,Major,0,New Feature,0,Fixed
Closed,2010-10-14T19:06:52.536+0000,Patch Available,cutting,2010-09-17T22:25:54.937+0000,4.15553419,cutting,Resolved,cutting,AVRO-662,357,57,2750.503148,9.189636007,AVRO,2010-09-08T17:52:50.386+0000,Patch Available to Resolved,2010-09-17T22:25:54.937+0000,4,Major,0,New Feature,0,Fixed
Closed,2010-10-14T19:06:52.536+0000,Resolved,cutting,2010-10-14T19:06:52.548+0000,26.86177791,cutting,Closed,cutting,AVRO-662,357,57,2750.503148,36.05141391,AVRO,2010-09-08T17:52:50.386+0000,Resolved to Closed,2010-09-17T22:25:54.937+0000,4,Major,0,New Feature,0,Fixed
Open,2011-12-13T19:06:45.161+0000,NA,hammer,2010-09-08T06:49:46.071+0000,NA,hammer,Open,NA,AVRO-659,616,67,2787.015029,NA,AVRO,2010-09-08T06:49:46.071+0000,Non-existent to Open,NA,8,Major,0,New Feature,1,NA
Open,2011-12-13T19:06:53.940+0000,NA,hammer,2010-09-08T06:43:59.285+0000,NA,hammer,Open,NA,AVRO-658,197,34,2787.019043,NA,AVRO,2010-09-08T06:43:59.285+0000,Non-existent to Open,NA,0,Major,1,New Feature,3,NA
Open,2010-09-02T18:10:02.417+0000,NA,cwsteinbach,2010-09-02T01:34:39.546+0000,NA,cwsteinbach,Open,NA,AVRO-651,711,41,2793.233855,NA,AVRO,2010-09-02T01:34:39.546+0000,Non-existent to Open,NA,1,Major,0,New Feature,4,NA
Closed,2012-07-02T00:15:04.391+0000,NA,cutting,2010-08-27T21:39:00.024+0000,NA,cutting,Open,cutting,AVRO-641,222,28,2750.503167,NA,AVRO,2010-08-27T21:39:00.024+0000,Non-existent to Open,2010-09-17T22:03:23.754+0000,16,Major,1,New Feature,6,Fixed
Closed,2012-07-02T00:15:04.391+0000,Open,cutting,2010-08-31T21:43:10.967+0000,4.002904433,cutting,In Progress,cutting,AVRO-641,222,28,2750.503167,4.002904433,AVRO,2010-08-27T21:39:00.024+0000,Open to In Progress,2010-09-17T22:03:23.754+0000,16,Major,1,New Feature,6,Fixed
Closed,2012-07-02T00:15:04.391+0000,In Progress,cutting,2010-09-01T19:36:38.018+0000,0.912118646,cutting,Patch Available,cutting,AVRO-641,222,28,2750.503167,4.915023079,AVRO,2010-08-27T21:39:00.024+0000,In Progress to Patch Available,2010-09-17T22:03:23.754+0000,16,Major,1,New Feature,6,Fixed
Closed,2012-07-02T00:15:04.391+0000,Patch Available,cutting,2010-09-17T22:03:23.754+0000,16.10191824,cutting,Resolved,cutting,AVRO-641,222,28,2750.503167,21.01694132,AVRO,2010-08-27T21:39:00.024+0000,Patch Available to Resolved,2010-09-17T22:03:23.754+0000,16,Major,1,New Feature,6,Fixed
Closed,2012-07-02T00:15:04.391+0000,Resolved,cutting,2010-10-14T19:06:50.992+0000,26.87739859,cutting,Closed,cutting,AVRO-641,222,28,2750.503167,47.89433991,AVRO,2010-08-27T21:39:00.024+0000,Resolved to Closed,2010-09-17T22:03:23.754+0000,16,Major,1,New Feature,6,Fixed
Closed,2012-03-27T06:29:15.614+0000,NA,cutting,2010-08-27T18:29:33.051+0000,NA,cutting,Open,cutting,AVRO-638,393,50,2602.276799,NA,AVRO,2010-08-27T18:29:33.051+0000,Non-existent to Open,2011-01-04T21:52:37.920+0000,1,Major,0,New Feature,3,Fixed
