status,updated,from_status,reporter,when,days_in_from_status,who,to_status,assignee,key,description_length,summary_length,days_in_current_status,days_since_open,project,created,transition,resolutiondate,comment_count,priority,vote_count,issue_type,watch_count,resolution
Closed,2010-08-30T10:39:50.154+0000,NA,esteve,2010-04-25T12:24:40.509+0000,NA,esteve,Open,esteve,AVRO-526,170,63,2873.23217,NA,AVRO,2010-04-25T12:24:40.509+0000,Non-existent to Open,2010-05-07T07:54:15.943+0000,4,Minor,0,Improvement,1,Fixed
Closed,2010-08-30T10:39:50.154+0000,Open,esteve,2010-04-25T12:25:53.181+0000,0.000841111,esteve,Patch Available,esteve,AVRO-526,170,63,2873.23217,0.000841111,AVRO,2010-04-25T12:24:40.509+0000,Open to Patch Available,2010-05-07T07:54:15.943+0000,4,Minor,0,Improvement,1,Fixed
Closed,2010-08-30T10:39:50.154+0000,Patch Available,esteve,2010-05-07T07:54:15.943+0000,11.81137456,hammer,Resolved,esteve,AVRO-526,170,63,2873.23217,11.81221567,AVRO,2010-04-25T12:24:40.509+0000,Patch Available to Resolved,2010-05-07T07:54:15.943+0000,4,Minor,0,Improvement,1,Fixed
Closed,2010-08-30T10:39:50.154+0000,Resolved,esteve,2010-06-14T01:37:05.075+0000,37.73806866,hammer,Closed,esteve,AVRO-526,170,63,2873.23217,49.55028433,AVRO,2010-04-25T12:24:40.509+0000,Resolved to Closed,2010-05-07T07:54:15.943+0000,4,Minor,0,Improvement,1,Fixed
Closed,2010-08-30T10:39:54.955+0000,NA,esteve,2010-04-25T12:19:33.887+0000,NA,esteve,Open,esteve,AVRO-525,73,21,2873.232175,NA,AVRO,2010-04-25T12:19:33.887+0000,Non-existent to Open,2010-05-07T07:37:17.080+0000,3,Minor,0,Improvement,1,Fixed
Closed,2010-08-30T10:39:54.955+0000,Open,esteve,2010-04-25T12:20:24.552+0000,0.0005864,esteve,Patch Available,esteve,AVRO-525,73,21,2873.232175,0.0005864,AVRO,2010-04-25T12:19:33.887+0000,Open to Patch Available,2010-05-07T07:37:17.080+0000,3,Minor,0,Improvement,1,Fixed
Closed,2010-08-30T10:39:54.955+0000,Patch Available,esteve,2010-05-07T07:37:17.080+0000,11.80338574,hammer,Resolved,esteve,AVRO-525,73,21,2873.232175,11.80397214,AVRO,2010-04-25T12:19:33.887+0000,Patch Available to Resolved,2010-05-07T07:37:17.080+0000,3,Minor,0,Improvement,1,Fixed
Closed,2010-08-30T10:39:54.955+0000,Resolved,esteve,2010-06-14T01:37:04.642+0000,37.74985604,hammer,Closed,esteve,AVRO-525,73,21,2873.232175,49.55382818,AVRO,2010-04-25T12:19:33.887+0000,Resolved to Closed,2010-05-07T07:37:17.080+0000,3,Minor,0,Improvement,1,Fixed
Closed,2010-09-08T21:07:42.704+0000,NA,urandom,2010-04-02T01:12:41.633+0000,NA,urandom,Open,cutting,AVRO-494,80,42,2786.419235,NA,AVRO,2010-04-02T01:12:41.633+0000,Non-existent to Open,2010-07-01T20:35:48.801+0000,11,Minor,0,Improvement,4,Fixed
Closed,2010-09-08T21:07:42.704+0000,Open,urandom,2010-07-01T20:35:48.801+0000,90.80772185,cutting,Resolved,cutting,AVRO-494,80,42,2786.419235,90.80772185,AVRO,2010-04-02T01:12:41.633+0000,Open to Resolved,2010-07-01T20:35:48.801+0000,11,Minor,0,Improvement,4,Fixed
Closed,2010-09-08T21:07:42.704+0000,Resolved,urandom,2010-09-08T21:07:42.709+0000,69.02215171,cutting,Closed,cutting,AVRO-494,80,42,2786.419235,159.8298736,AVRO,2010-04-02T01:12:41.633+0000,Resolved to Closed,2010-07-01T20:35:48.801+0000,11,Minor,0,Improvement,4,Fixed
Closed,2010-06-14T01:37:00.957+0000,NA,jmhodges,2010-03-26T20:51:26.945+0000,NA,jmhodges,Open,jmhodges,AVRO-491,131,52,2873.232218,NA,AVRO,2010-03-26T20:51:26.945+0000,Non-existent to Open,2010-04-03T02:26:40.597+0000,2,Minor,0,Improvement,1,Fixed
Closed,2010-06-14T01:37:00.957+0000,Open,jmhodges,2010-03-26T20:52:25.257+0000,0.000674907,jmhodges,Patch Available,jmhodges,AVRO-491,131,52,2873.232218,0.000674907,AVRO,2010-03-26T20:51:26.945+0000,Open to Patch Available,2010-04-03T02:26:40.597+0000,2,Minor,0,Improvement,1,Fixed
Closed,2010-06-14T01:37:00.957+0000,Patch Available,jmhodges,2010-04-03T02:26:40.597+0000,7.232121991,jmhodges,Resolved,jmhodges,AVRO-491,131,52,2873.232218,7.232796898,AVRO,2010-03-26T20:51:26.945+0000,Patch Available to Resolved,2010-04-03T02:26:40.597+0000,2,Minor,0,Improvement,1,Fixed
Closed,2010-06-14T01:37:00.957+0000,Resolved,jmhodges,2010-06-14T01:37:00.962+0000,71.96551348,hammer,Closed,jmhodges,AVRO-491,131,52,2873.232218,79.19831038,AVRO,2010-03-26T20:51:26.945+0000,Resolved to Closed,2010-04-03T02:26:40.597+0000,2,Minor,0,Improvement,1,Fixed
Open,2010-03-23T14:37:00.778+0000,NA,amichai,2010-03-23T14:37:00.778+0000,NA,amichai,Open,NA,AVRO-488,250,25,2955.690554,NA,AVRO,2010-03-23T14:37:00.778+0000,Non-existent to Open,NA,0,Minor,2,Bug,3,NA
Closed,2010-06-14T01:37:00.540+0000,NA,jmhodges,2010-03-21T01:44:31.860+0000,NA,jmhodges,Open,jmhodges,AVRO-486,147,29,2873.232223,NA,AVRO,2010-03-21T01:44:31.860+0000,Non-existent to Open,2010-04-03T02:17:03.652+0000,3,Minor,0,Improvement,1,Fixed
Closed,2010-06-14T01:37:00.540+0000,Open,jmhodges,2010-03-21T01:51:58.404+0000,0.005168333,jmhodges,Patch Available,jmhodges,AVRO-486,147,29,2873.232223,0.005168333,AVRO,2010-03-21T01:44:31.860+0000,Open to Patch Available,2010-04-03T02:17:03.652+0000,3,Minor,0,Improvement,1,Fixed
Closed,2010-06-14T01:37:00.540+0000,Patch Available,jmhodges,2010-04-03T02:17:03.652+0000,13.01742185,jmhodges,Resolved,jmhodges,AVRO-486,147,29,2873.232223,13.02259019,AVRO,2010-03-21T01:44:31.860+0000,Patch Available to Resolved,2010-04-03T02:17:03.652+0000,3,Minor,0,Improvement,1,Fixed
Closed,2010-06-14T01:37:00.540+0000,Resolved,jmhodges,2010-06-14T01:37:00.546+0000,71.97218627,hammer,Closed,jmhodges,AVRO-486,147,29,2873.232223,84.99477646,AVRO,2010-03-21T01:44:31.860+0000,Resolved to Closed,2010-04-03T02:17:03.652+0000,3,Minor,0,Improvement,1,Fixed
